Word,L2.Val.Mean,L2.Val.SD,L2.Val.N,L2.Aro.Mean,L2.Aro.SD,L2.Aro.N,L1.Val.Mean,L1.Val.SD,L1.Val.N,L1.Val.Mean.Young,L1.Val.SD.Young,L1.Val.N.Young,L1.Aro.Mean,L1.Aro.SD,L1.Aro.N,L1.Aro.Mean.Young,L1.Aro.SD.Young,L1.Aro.N.Young,Freq
abandon,2.43,1.68,60,3.58,1.95,57,2.84,1.54,19,2.75,1.28,8,3.73,2.43,22,3.78,2.28,9,413
abdomen,4.88,1.62,74,4.62,1.84,64,5.43,1.75,21,5.64,2.16,11,3.68,2.23,22,3.4,3.36,5,171
abduction,2.91,1.84,33,5.39,1.99,41,2.05,1.31,19,2.5,1.51,10,5.33,2.2,21,5.78,1.3,9,185
ability,7.33,1.59,15,5.29,1.96,17,7,1.59,20,7,1.66,9,4.85,2.74,20,4.78,2.86,9,980
able,NA,NA,NA,5.35,2.28,20,6.64,1.79,22,6.29,1.86,14,3.38,2.25,21,2.78,1.64,9,8155
abortion,3.43,1.65,14,NA,NA,NA,2.58,1.84,19,2.8,1.81,10,5.43,2.38,47,5.61,2.44,23,369
absence,3.42,1.92,84,3.72,1.86,79,3.86,2.08,21,4,2.28,6,4.3,2.13,20,4.6,2.46,10,322
absent,5.29,1.82,14,NA,NA,NA,4.1,1.55,21,4.31,1.45,16,3.72,2.48,25,3.14,2.6,14,131
academic,5.97,1.82,37,5,1.97,48,6.61,1.54,18,6.45,1.51,11,3.32,2.23,22,3.09,1.87,11,238
academy,4.97,1.9,86,4.82,2.15,77,5.32,1.89,19,5.3,1.7,10,3.77,2.16,22,4.89,2.2,9,633
acceptable,6.4,1.92,15,3.94,1.92,17,6.59,1.53,22,7,1.85,8,3.65,2.33,23,3.33,2.92,9,269
accommodate,5.53,2,15,4.65,2.6,17,6.35,1.73,20,6.6,1.43,10,3,1.61,18,2.5,1.08,10,109
accomplice,4.56,1.77,70,4.94,1.65,65,4.6,1.39,20,5,1.53,7,4.5,2.61,20,5,2.61,6,216
accurate,6.08,2.03,37,4.65,2.02,46,7.42,1.57,19,8.22,1.09,9,4.35,2.25,23,5.1,2.51,10,400
ache,2.6,1.35,15,5.12,2.39,17,3.27,2.01,40,3.21,2.01,14,4.3,2.26,47,3.92,2.38,26,127
acid,3.62,1.59,16,5.15,2.28,27,3.26,2.02,19,3,1.49,10,4.77,2.37,22,5.33,2.24,9,508
acknowledge,6.46,1.74,37,4.94,1.85,48,6.43,1.86,21,6.29,2.43,7,3.26,2.18,23,3.73,2.24,11,313
act,5.26,1.2,27,4.79,1.85,33,5.64,1.71,22,5.5,1.83,14,4.19,2.29,21,4.11,2.67,9,5565
action,6.12,1.81,84,6.52,2.11,77,6,1.64,18,5.82,1.83,11,6.19,2.56,21,6.56,2.92,9,3115
activity,6.04,1.58,27,5.36,2.28,33,6.21,1.75,19,6.2,1.93,10,4.86,2.48,21,3.86,2.54,7,657
actress,6,1.69,15,5.88,2.22,16,5.42,1.22,19,5.67,1.12,9,5.43,2.18,21,5.67,2.29,9,817
actual,5.46,1.03,26,4.18,1.57,33,6.22,1.48,18,6.71,1.38,7,2.75,1.94,20,2.22,1.56,9,884
acute,5.33,2.47,15,5.94,1.82,17,5.1,1.94,20,5.64,1.69,14,5.09,1.95,22,4.42,2.11,12,150
ad,4.92,1.52,26,4.66,1.68,32,4.11,1.45,19,4.62,1.51,8,3.33,2.17,18,3.57,1.9,7,694
addiction,3.95,2.03,37,5.53,1.78,47,3.52,1.81,21,3.92,1.98,12,4.48,2.87,23,4.9,2.73,10,199
adjustment,4.75,2.08,16,3.96,1.72,25,5.53,1.22,19,6.11,1.36,9,4.59,2.36,22,5,2.71,10,158
administration,4.97,1.57,37,4.23,1.96,47,4.45,1.36,20,4.9,1.45,10,3.23,2,22,3.8,2.95,5,387
admiration,6.41,1.83,34,4.84,1.78,45,7.58,1.98,19,8.33,1.12,9,5.52,2.19,23,5.4,2.22,10,107
admired,7.67,1.45,15,5.88,1.96,17,7.25,1.37,20,7.1,0.99,10,5.95,2.16,21,6.14,1.46,7,187
admission,5.83,2.24,36,5.67,2.13,49,5.91,1.34,22,6,1.07,8,3.69,2.02,26,4.23,2.13,13,181
adorable,NA,NA,NA,6.67,1.93,21,7.4,1.6,20,7.5,0.85,10,4.66,2.79,38,4.2,2.59,20,537
adult,4.81,1.14,27,4.67,2.31,33,5.9,2.1,42,5.41,2.21,29,4.36,2.5,22,4.18,2.71,11,729
advanced,6.29,1.73,14,NA,NA,NA,6.14,1.42,21,6.6,1.65,10,3.83,2.06,23,4.27,2.65,11,451
advantage,NA,NA,NA,6.43,2.09,21,6.71,1.62,21,6.14,2.27,7,3.95,2.36,22,5.11,2.2,9,1125
adventure,7.71,0.91,14,NA,NA,NA,7.4,1.78,42,7.56,1.46,16,6.36,2.4,42,5.81,2.79,16,685
advertising,4.93,1.62,15,5.65,1.77,17,4.68,2.19,19,4.83,2.4,6,3.25,2.02,20,3.86,2.48,7,379
advocate,5.93,1.49,15,5.41,2.12,17,5.25,1.48,20,5.71,1.14,14,4.59,2.06,22,4,2.22,12,113
affect,4.77,1.6,84,4.43,1.83,76,5.65,1.23,20,5.44,1.01,9,3.61,2.23,23,2.92,2.02,12,568
affectionate,6.82,1.82,78,5.78,2.15,72,7.23,1.77,22,7.18,1.78,11,4.77,2.65,22,5.27,2.37,11,115
afternoon,5.71,1.44,14,NA,NA,NA,6.68,1.43,22,6.64,1.39,14,3.48,2.09,21,3.33,1.94,9,4666
age,NA,NA,NA,5.05,2.06,22,5.78,1.93,18,6,1.67,11,3.71,2.59,21,2.56,2.6,9,4039
agency,4.89,1.73,35,4.69,2.03,49,5.14,1.46,21,5.43,2.44,7,3.17,1.97,23,3.64,2.11,11,991
aging,2.93,1.84,82,3.64,1.85,76,3,1.41,18,3.33,1.21,6,3.8,2.88,20,4.14,3.39,7,131
agony,2.94,2.04,35,5.22,2.1,46,2.46,1.64,41,2.53,1.63,30,5.78,2.78,18,6,2.75,10,191
air,6.81,2.34,16,3.89,2.36,27,6.71,1.85,21,7,1.63,4,3.25,2.55,20,1.86,1.07,7,7090
airfield,NA,NA,NA,5.67,2.16,15,5.74,1.48,19,5.86,1.77,7,4.38,2.22,21,4.29,2.75,7,118
